"DeviceID","Camera","MajorPin","Pinmediatype","Major","Sub","Bitrate","Framesize","Framerate","Aspect","Interlace"
"BOOK1","IR","Pin 0 Preview","0","MFMediaType_Video","MFVideoFormat_NV12","221184000","480x640","60/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","IR","Pin 1 Capture","0","MFMediaType_Video","MFVideoFormat_NV12","221184000","480x640","60/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","IR","Pin 2 Still","0","MFMediaType_Video","MFVideoFormat_NV12","221184000","480x640","60/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","IR","Pin 2 Still","1","MFMediaType_Image","MFImageFormat_JPEG",,"480x640",,,
"BOOK1","FFC","Pin 0 Preview","0","MFMediaType_Video","MFVideoFormat_NV12","746496000","1920x1080","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","1","MFMediaType_Video","MFVideoFormat_NV12","82944000","640x360","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","2","MFMediaType_Video","MFVideoFormat_NV12","110592000","640x480","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","3","MFMediaType_Video","MFVideoFormat_NV12","147456000","640x640","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","4","MFMediaType_Video","MFVideoFormat_NV12","331776000","1280x720","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","5","MFMediaType_Video","MFVideoFormat_NV12","884736000","1920x1280","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","6","MFMediaType_Video","MFVideoFormat_NV12","995328000","1920x1440","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","7","MFMediaType_Video","MFVideoFormat_NV12","41472000","640x360","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","8","MFMediaType_Video","MFVideoFormat_NV12","55296000","640x480","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","9","MFMediaType_Video","MFVideoFormat_NV12","73728000","640x640","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","10","MFMediaType_Video","MFVideoFormat_NV12","165888000","1280x720","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","11","MFMediaType_Video","MFVideoFormat_NV12","373248000","1920x1080","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","12","MFMediaType_Video","MFVideoFormat_NV12","442368000","1920x1280","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 0 Preview","13","MFMediaType_Video","MFVideoFormat_NV12","497664000","1920x1440","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","0","MFMediaType_Video","MFVideoFormat_NV12","746496000","1920x1080","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","1","MFMediaType_Video","MFVideoFormat_NV12","82944000","640x360","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","2","MFMediaType_Video","MFVideoFormat_NV12","110592000","640x480","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","3","MFMediaType_Video","MFVideoFormat_NV12","147456000","640x640","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","4","MFMediaType_Video","MFVideoFormat_NV12","331776000","1280x720","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","5","MFMediaType_Video","MFVideoFormat_NV12","41472000","640x360","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","6","MFMediaType_Video","MFVideoFormat_NV12","55296000","640x480","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","7","MFMediaType_Video","MFVideoFormat_NV12","73728000","640x640","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","8","MFMediaType_Video","MFVideoFormat_NV12","165888000","1280x720","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 1 Capture","9","MFMediaType_Video","MFVideoFormat_NV12","373248000","1920x1080","15/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 2 Still","0","MFMediaType_Video","MFVideoFormat_NV12","1327104000","2560x1440","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 2 Still","1","MFMediaType_Image","MFImageFormat_JPEG",,"2560x1440",,,
"BOOK1","FFC","Pin 2 Still","2","MFMediaType_Video","MFVideoFormat_NV12","1572249600","2560x1706","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 2 Still","3","MFMediaType_Image","MFImageFormat_JPEG",,"2560x1706",,,
"BOOK1","FFC","Pin 2 Still","4","MFMediaType_Video","MFVideoFormat_NV12","1769472000","2560x1920","30/1","1:1","MFVideoInterlace_Progressive"
"BOOK1","FFC","Pin 2 Still","5","MFMediaType_Image","MFImageFormat_JPEG",,"2560x1920",,,
"BOOK1","FFC","Pin 2 Still","6","MFMediaType_Video","MFVideoFormat_NV12","663552000","2560x1440","15/1","1:1","MFVideoInterlace_Progressive"
