"DeviceID","Camera","Property","Supported","FlagParent","Max","Min","Step","Default","Current","Auto","Manual"
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_FOCUS","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXPOSURE","Y","","-5","-13","1","-6","-6","1","1"
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_ZOOM","Y","","61","1","1","1","1","0","1"
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_PAN","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_TILT","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_IRIS","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_ROLL","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_SCANMODE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_PRIVACY","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_PANTILT","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_PAN_RELATIVE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_TILT_RELATIVE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_ROLL_RELATIVE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_ZOOM_RELATIVE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXPOSURE_RELATIVE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_IRIS_RELATIVE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_FOCUS_RELATIVE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_PANTILT_RELATIVE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_FOCAL_LENGTH","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_AUTO_EXPOSURE_PRIORITY","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_BACKLIGHT_COMPENSATION","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_BRIGHTNESS","Y","","12","-12","1","0","0","0","1"
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_COLORENABLE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_CONTRAST","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_GAMMA","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_HUE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_SATURATION","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_SHARPNESS","Y","","127","-128","1","0","0","0","0"
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_WHITEBALANCE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_GAIN","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_DIGITAL_MULTIPLIER","Y","","61","1","1","1","1","0","1"
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_DIGITAL_MULTIPLIER_LIMIT","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_WHITEBALANCE_COMPONENT","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDEOPROCAMP_POWERLINE_FREQUENCY","Y","","2","0","1","1","0","1","1"
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_FLASH","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_IMAGE_PIN_CAPABILITY_PROPERTY","NO","","","","",,,"",""
"BOOK1","IR","PROPSETID_VIDCAP_CAMERACONTROL_REGION_OF_INTEREST","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_VIDCAP_DROPPEDFRAMES","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOMODE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOFRAMERATE","Y","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOMAXFRAMERATE","Y","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOTRIGGERTIME","Y","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_PHOTOTRIGGERTIME_CLEAR","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOTRIGGERTIME","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_PHOTOTRIGGERTIME_SET","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOTRIGGERTIME","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOTHUMBNAIL","Y","","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP__PHOTOTHUMBNAIL_DISABLE","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOTHUMBNAIL","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP__PHOTOTHUMBNAIL_2X","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOTHUMBNAIL","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP__PHOTOTHUMBNAIL_4X","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOTHUMBNAIL","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP__PHOTOTHUMBNAIL_8X","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOTHUMBNAIL","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP__PHOTOTHUMBNAIL_16X","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_PHOTOTHUMBNAIL","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_WARMSTART","Y","","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_WARMSTART_MODE_DISABLED","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_WARMSTART","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_WARMSTART_MODE_ENABLED","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_WARMSTART","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_MAXVIDFPS_PHOTORES","Y","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","Y","","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_AUTO","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_MACRO","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_PORTRAIT","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_SPORT","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_NIGHT","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_BEACH","NO","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_SUNSET","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_CANDLELIGHT","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_LANDSCAPE","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_NIGHTPORTRAIT","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_BACKLIT","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_SCENEMODE_MANUAL","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_SCENEMODE","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_TORCHMODE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_FLASHMODE","NO","","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_OPTIMIZATIONHINT","Y","","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_OPTIMIZATION_PHOTO","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_OPTIMIZATIONHINT","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_OPTIMIZATION_VIDEO","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_OPTIMIZATIONHINT","","","",,,"",""
"BOOK1","IR","KSPROPERTY_CAMERACONTROL_EXTENDED_WHITEBALANCEMODE","Y","","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_WHITEBALANCE_TEMPERATURE","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_WHITEBALANCEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_WHITEBALANCE_PRESET","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_WHITEBALANCEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_WBPRESET_CLOUDY","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_WHITEBALANCEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_WBPRESET_DAYLIGHT","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_WHITEBALANCEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_WBPRESET_FLASH","NO","KSPROPERTY_CAMERACONTROL_EXTENDED_WHITEBALANCEMODE","","","",,,"",""
"BOOK1","IR","KSCAMERA_EXTENDEDPROP_WBPRESET_FLUORESCENT","Y","KSPROPERTY_CAMERACONTROL_EXTENDED_WHITEBALANCEMODE","","","",,,"",""
