#TYPE Selected.System.Management.Automation.PSCustomObject,,,,,,,,,,,
Name,title,length,Frame height,Frame width,Frame rate,Bit rate,Data rate,Size,Year,Comments,Type
15HOURS.AVI,,0:00:59,101,245,14 frames/second,,34kbps,253 KB,,,AVI File
405 - The Movie.wmv,405,0:03:05,180,240,30 frames/second,34kbps,166kbps,4.43 MB,,,WMV File
5400KeystoneInventory.avi,,0:07:52,480,720,29 frames/second,1024kbps,28894kbps,1.58 GB,,,AVI File
AfricanJourney.wmv,AfricanJourney,0:40:13,480,720,29 frames/second,128kbps,3000kbps,182 MB,,"ex Africa semper aliquid novi - Pliny the Elder (""Out of Africa there is always something new"")",WMV File
AfricanJourneyMini.wmv,AfricanJourney,0:40:13,240,320,15 frames/second,20kbps,100kbps,24.8 MB,,"ex Africa semper aliquid novi - Pliny the Elder (""Out of Africa there is always something new"")",WMV File
AirRaceThe1933WillieWhopperiwerks_512kb.mp4,"Air Race, The (1933) Willie Whopper (Iwerks) - http://www.archive.org/details/YheAirRace",0:07:26,240,320,25 frames/second,107kbps,512kbps,33.2 MB,,license:http://creativecommons.org/licenses/by/3.0/,MP4 File
Allebaugh2007.wmv,Allebaugh2007,0:16:20,720,1280,29 frames/second,192kbps,6000kbps,131 MB,,,WMV File
Autobiography Of A Jeep 1943.mp4,,0:09:33,240,320,30 frames/second,164kbps,477kbps,44.2 MB,,,MP4 File
Ballmer - another developers.mpeg,,0:01:14,176,240,30 frames/second,32kbps,300kbps,3.00 MB,,,Movie Clip
Ballmer - short developers.mpeg,,0:00:19,240,320,29 frames/second,48kbps,600kbps,1.55 MB,,,Movie Clip
"Bath, Hestercomb, Paris.WMV",,0:57:39,240,320,30 frames/second,34kbps,195kbps,94.8 MB,,,WMV File
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
